0,8,0
1,1,7
2,7,4
3,4,0
4,5,2
5,5,8
6,4,1
7,9,6
8,7,4
9,3,9
10,2,1
11,5,0
12,3,8
13,9,9
14,3,2
15,2,9
16,4,5
17,7,2
18,4,2
19,0,4
20,3,7
21,5,1
22,2,5
23,8,4
24,7,3
25,1,8
26,5,8
27,6,7
28,3,4
29,4,9
30,0,7
31,7,7
32,6,8
33,2,1
34,3,2
35,0,6
36,2,0
37,5,9
38,3,5
39,2,0
40,2,9
41,9,9
42,4,3
43,3,8
44,1,5
45,2,0
46,9,1
47,6,3
48,0,5
49,7,5
50,7,8
51,7,8
52,7,4
53,8,7
54,3,5
55,9,6
56,6,7
57,4,5
58,6,0
59,3,9
60,3,2
61,7,5
62,5,2
63,8,8
64,3,2
65,1,7
66,7,7
67,2,0
68,6,8
69,4,8
70,4,7
71,3,6
72,8,8
73,1,8
74,6,5
75,3,3
76,2,6
77,8,5
78,9,1
79,0,4
80,2,5
81,4,7
82,8,3
83,5,3
84,0,9
85,7,6
86,1,4
87,6,0
88,5,4
89,3,5
90,4,8
91,3,1
92,2,7
93,8,2
94,3,4
95,6,6
96,4,2
97,9,2
98,3,8
99,3,7
